#,Id,TelegramUserId,WeightKilograms,AddedOn
1,2,79307128,88.40,2022-05-28 11:22:14.5324160
2,10,79307128,88.10,2022-05-29 11:22:14.5324160
3,1010,79307128,87.45,2022-05-30 10:00:14.5324160
4,1012,79307128,87.20,2022-05-31 10:00:14.5324160
5,1013,79307128,87.80,2022-06-01 10:00:14.5324160
6,1014,79307128,87.80,2022-06-02 10:00:14.5324160
7,1017,79307128,87.70,2022-06-03 11:28:57.8784860
8,1018,79307128,87.10,2022-06-04 10:34:14.9139520
9,1019,79307128,87.60,2022-06-05 13:48:09.4239410
10,1020,79307128,87.60,2022-06-06 10:35:58.4089210
11,1021,79307128,87.85,2022-06-07 09:50:57.7796580
12,1022,79307128,87.35,2022-06-09 10:34:58.6714670
13,1023,79307128,87.75,2022-06-10 10:47:51.0942960
14,1024,79307128,88.50,2022-06-11 10:33:09.3705250
15,1025,79307128,87.60,2022-06-12 13:37:26.9554930
16,1026,79307128,87.10,2022-06-13 10:35:14.3319340
17,1027,79307128,87.10,2022-06-13 12:10:21.5864720
18,1028,79307128,87.95,2022-06-14 10:15:35.6254890
19,2022,79307128,88.15,2022-06-15 13:50:37.4828670
20,2023,79307128,87.25,2022-06-16 10:46:57.9478130
21,2024,79307128,87.65,2022-06-18 10:25:29.1587350
